timestamp,zone,visitor_count
2026-06-11 12:06:30.627669,FoodCourt,352
2026-06-11 12:07:30.627669,Cinema,264
2026-06-11 12:08:30.627669,Cinema,141
2026-06-11 12:09:30.627669,FoodCourt,102
2026-06-11 12:10:30.627669,Cinema,194
2026-06-11 12:11:30.627669,Cinema,205
2026-06-11 12:12:30.627669,FashionArea,244
2026-06-11 12:13:30.627669,Cinema,39
2026-06-11 12:14:30.627669,FashionArea,395
2026-06-11 12:15:30.627669,Cinema,482
2026-06-11 12:16:30.627669,FoodCourt,393
2026-06-11 12:17:30.627669,FashionArea,391
2026-06-11 12:18:30.627669,FashionArea,383
2026-06-11 12:19:30.627669,FoodCourt,168
2026-06-11 12:20:30.627669,FoodCourt,161
2026-06-11 12:21:30.627669,FashionArea,401
2026-06-11 12:22:30.627669,FashionArea,461
2026-06-11 12:23:30.627669,Cinema,10
2026-06-11 12:24:30.627669,Cinema,251
2026-06-11 12:25:30.627669,FashionArea,284
2026-06-11 12:26:30.627669,FoodCourt,324
2026-06-11 12:27:30.627669,FoodCourt,263
2026-06-11 12:28:30.627669,Cinema,10
2026-06-11 12:29:30.627669,Cinema,209
2026-06-11 12:30:30.627669,Cinema,102
2026-06-11 12:31:30.627669,FashionArea,204
2026-06-11 12:32:30.627669,FashionArea,354
2026-06-11 12:33:30.627669,Cinema,363
2026-06-11 12:34:30.627669,FashionArea,97
2026-06-11 12:35:30.627669,FoodCourt,421
2026-06-11 12:36:30.627669,FashionArea,391
2026-06-11 12:37:30.627669,FoodCourt,132
2026-06-11 12:38:30.627669,FoodCourt,254
2026-06-11 12:39:30.627669,FoodCourt,295
2026-06-11 12:40:30.627669,FoodCourt,15
2026-06-11 12:41:30.627669,FashionArea,175
2026-06-11 12:42:30.627669,Cinema,232
2026-06-11 12:43:30.627669,Cinema,38
2026-06-11 12:44:30.627669,FashionArea,380
2026-06-11 12:45:30.627669,FashionArea,180
2026-06-11 12:46:30.627669,Cinema,141
2026-06-11 12:47:30.627669,FashionArea,261
2026-06-11 12:48:30.627669,FoodCourt,399
2026-06-11 12:49:30.627669,FoodCourt,235
2026-06-11 12:50:30.627669,Cinema,233
2026-06-11 12:51:30.627669,FashionArea,110
2026-06-11 12:52:30.627669,Cinema,388
2026-06-11 12:53:30.627669,FashionArea,394
2026-06-11 12:54:30.627669,Cinema,142
2026-06-11 12:55:30.627669,Cinema,316
2026-06-11 12:56:30.627669,FoodCourt,92
2026-06-11 12:57:30.627669,FoodCourt,135
2026-06-11 12:58:30.627669,FoodCourt,44
2026-06-11 12:59:30.627669,FoodCourt,375
2026-06-11 13:00:30.627669,Cinema,215
2026-06-11 13:01:30.627669,FoodCourt,19
2026-06-11 13:02:30.627669,FashionArea,376
2026-06-11 13:03:30.627669,FoodCourt,268
2026-06-11 13:04:30.627669,FashionArea,33
2026-06-11 13:05:30.627669,FoodCourt,132
2026-06-11 13:06:30.627669,Cinema,339
2026-06-11 13:07:30.627669,Cinema,192
2026-06-11 13:08:30.627669,FashionArea,476
2026-06-11 13:09:30.627669,Cinema,456
2026-06-11 13:10:30.627669,FashionArea,178
2026-06-11 13:11:30.627669,FashionArea,170
2026-06-11 13:12:30.627669,FashionArea,95
2026-06-11 13:13:30.627669,FoodCourt,449
2026-06-11 13:14:30.627669,FoodCourt,233
2026-06-11 13:15:30.627669,FoodCourt,308
2026-06-11 13:16:30.627669,Cinema,68
2026-06-11 13:17:30.627669,FoodCourt,197
2026-06-11 13:18:30.627669,FashionArea,100
2026-06-11 13:19:30.627669,FashionArea,421
2026-06-11 13:20:30.627669,FoodCourt,436
2026-06-11 13:21:30.627669,FoodCourt,206
2026-06-11 13:22:30.627669,FoodCourt,323
2026-06-11 13:23:30.627669,FoodCourt,301
2026-06-11 13:24:30.627669,FoodCourt,287
2026-06-11 13:25:30.627669,FoodCourt,292
2026-06-11 13:26:30.627669,FoodCourt,374
2026-06-11 13:27:30.627669,FashionArea,483
2026-06-11 13:28:30.627669,FoodCourt,236
2026-06-11 13:29:30.627669,Cinema,81
2026-06-11 13:30:30.627669,FoodCourt,285
2026-06-11 13:31:30.627669,Cinema,325
2026-06-11 13:32:30.627669,Cinema,229
2026-06-11 13:33:30.627669,FashionArea,112
2026-06-11 13:34:30.627669,Cinema,314
